altupatory,æ l t ə p æ t ə ɹ iː  
always,oː l w æɪ z  
attack,ə t æ k  
australia,ə s t ɹ æɪ l j ə  
back,b æ k  
badge,b æ dʒ  
bag,b æ ɡ  
ball,b oː l  
balloon,b ə l ʉː n  
ballop,b æ l ə p  
banana,b ə n ɐː n ə  
bannifer,b æ n ə f ə  
bannow,b æ n əʉ  
barrazon,b æ ɹ ə z ɔ n  
bat,b æ t
beans,b iː n z  
beard,b ɪ ə d  
bed,b e d
bellybutton,b e l iː b ɐ t ə n  
big,b ɪ ɡ
binoculars,b ə n ɔ k j ə l ə z  
bird,b ɜː d  
black,b l æ k  
blonterstaping,b l ɔ n t ə s t æɪ p ɪ ŋ  
blue,b l ʉː  
boat,b əʉ t  
bone,b əʉ n  
boy,b oɪ  
boys,b oɪ z  
brasterer,b ɹ ɐː s t ə ɹ ə  
breathe,b ɹ iː ð  
bridge,b ɹ ɪ dʒ  
bury,b e ɹ iː  
bus,b ɐ s  
butterfly,b ɐ t ə f l ɑe  
buy,b ɑe  
cake,k æɪ k  
canoe,k ə n ʉː  
car,k ɐː  
card,k ɐː d  
cards,k ɐː d z  
carpet,k ɐː p ə t  
carrots,k æ ɹ ə t s  
carry,k æ ɹ iː  
cart,k ɐː t  
cat,k æ t  
catch,k æ tʃ  
caterpillar,k æ t ə p ɪ l ə  
cats,k æ t s  
chair,tʃ eː  
cheese,tʃ iː z  
cicada,s ə k ɐː d ə  
circus,s ɜː k ə s  
climb,k l ɑe m  
cloud,k l æɔ d  
clown,k l æɔ n  
coat,k əʉ t
coconut,k əʉ k ə n ɐ t  
colour,k ɐ l ə  
commeecitate,k ə m iː s ə t æɪ t  
commerine,k ɔ m ə ɹ iː n  
confrantually,k ə n f ɹ æ n tʃ ə l iː  
contramponist,k ə n t ɹ æ m p ə n ə s t  
cook,k ʊ k  
corner,k oː n ə  
cousins,k ɐ z ə n z  
cow,k æɔ  
crab,k ɹ æ b  
crocodile,k ɹ ɔ k ə d ɑe l  
cub,k ɐ b  
cucumber,k j ʉː k ɐ m b ə  
cup,k ɐ p  
cups,k ɐ p s  
curl,k ɜː l  
cut,k ɐ t  
dark,d ɐː k  
defermication,d ə f ɜː m ə k æɪ ʃ ə n  
dessert,d ə z ɜː t  
detective,d ə t e k t ɪ v  
detratapillic,d e t ɹ ə t ə p ɪ l ɪ k  
dinosaur,d ɑe n ə s oː  
dive,d ɑe v  
dogs,d ɔ ɡ z  
doll,d ɔ l  
door,d oː 
dopelate,d əʉ p ə l æɪ t  
down,d æɔ n
drink,d ɹ ɪ ŋ k  
ear,ɪ ə  
egg,e ɡ  
eggs,e ɡ z  
eight,æɪ t  
elephant,e l ə f ə n t  
empliforvent,e m p l ɪ f oː v ə n t  
fan,f æ n  
farm,f ɐː m
feather,f e ð ə  
fenneriser,f e n ə ɹ iː s ə  
finger,f ɪ ŋ g ə
five,f ɑe v  
flowerpot,f l æɔ ə p ɔ t  
follow,f ɔ l əʉ  
food,f ʉː d  
foot,f ʊ t  
four,f oː  
frescovent,f ɹ e s k ə v ə n t  
frog,f ɹ ɔ ɡ  
from,f ɹ ɔ m  
fur,f ɜː  
garage,ɡ æ ɹ ɐː dʒ  
garden,ɡ ɐː d ə n  
giraffe,dʒ ə ɹ ɐː f  
girl,ɡ ɜː l  
girls,ɡ ɜː l z  
glistering,ɡ l ɪ s t ə ɹ ɪ ŋ  
glistow,ɡ l ɪ s t əʉ  
goat,g əʉ t
gold,ɡ əʉ l d  
gorilla,ɡ ə ɹ ɪ l ə  
grasshopper,ɡ ɹ ɐː s h ɔ p ə  
green,ɡ ɹ iː n  
hair,h eː  
hampent,h æ m p ə n t  
head,h e d  
hide,h ɑe d  
high,h ɑe  
hill,h ɪ l  
hippopotamus,h ɪ p ə p ɔ t ə m ə s  
hole,h əʉ l  
hop,h ɔ p
in,ɪ n  
jam,dʒ æ m  
jump,dʒ ɐ m p  
kangaroo,k æ ŋ ɡ ə ɹ ʉː  
key,k iː  
kitchen,k ɪ tʃ ə n  
knife,n ɑe f
leaf,l iː f  
light,l ɑe t  
like,l ɑe k  
loddernapish,l ɔ d ə n æ p ɪ ʃ  
machine,m ə ʃ iː n  
magician,m ə dʒ ɪ ʃ ə n  
martian,m ɐː ʃ ə n  
mice,m ɑe s  
money,m ɐ n i:
moon,m ʉː n
mountain,m æɔ n t ə n  
moustache,m ə s t ɐː ʃ  
mouth,m æɔ θ  
nanny,n æ n i:
nine,n ɑe n  
no,n əʉ  
nose,n əʉ z  
o’clock,ə k l ɔ k  
often,ɔ f ə n  
one,w ɐ n  
owl,æɔ l  
pat,p æ t
pennel,p e n ə l  
penneriful,p ə n e ɹ ɪ f ə l  
peppers,p e p ə z  
perplisteronk,p ɜː p l ɪ s t ə ɹ ɔ m p  
pictures,p ɪ k tʃ ə z  
pie,p ɑe  
pig,p ɪ ɡ
plane,p l æɪ n  
play,p l æɪ  
pool,p ʉː l  
potato,p ə t æɪ t əʉ  
pour,p oː  
prindle,p ɹ ɪ n d ə l  
pristoractional,p ɹ ɪ s t ə ɹ æ k ʃ ə n ə l  
pull,p ʊ l  
rhinoceros,ɹ ɑe n ɔ s ə ɹ ə s  
ride,ɹ ɑe d  
rubid,ɹ ʉː b ə d  
sausage,s ɔ s ɪ dʒ  
see,s iː  
sepretennial,s e p ɹ ə t e n iː ə l  
seven,s e v ə n  
shell,ʃ e l  
shop,ʃ ɔ p  
short,ʃ oː t  
six,s ɪ k s  
skirt,s k ɜː t  
skiticult,s k ɪ t iː k ə l t  
sladding,s l æ d ɪ ŋ  
smile,s m ɑe l  
snake,s n æɪ k  
sock,s ɔ k  
spade,s p æɪ d  
spaghetti,s p ə ɡ e t iː  
spiderweb,s p ɑe d ə w e b  
splash,s p l æ ʃ  
sprout,s p ɹ æɔ t  
stethoscope,s t e θ ə s k əʉ p  
stopograttic,s t ɔ p ə ɡ ɹ æ t ɪ k  
story,s t oː ɹ iː  
straw,s t ɹ oː  
sue,s ʉː  
swing,s w ɪ ŋ  
sword,s oː d  
tafflest,t æ f l ə s t  
tail,t æɪ l  
tea,t iː  
teachers,t iː tʃ ə z  
tear,t eː 
ten,t e n  
that,ð æ t  
the,ð ə  
thermometer,θ ə m ɔ m ə t ə  
thickery,θ ɪ k ə ɹ iː  
three,θ ɹ iː  
thumb,θ ɐ m  
to,t ʉː  
tomato,t ə m ɐː t əʉ  
tonight,t ə n ɑe t  
tooth,t ʉː θ  
torn,t oː n
town,t æɔ n
treasure,t ɹ e ʒ ə  
tree,t ɹ iː  
trumpetine,t ɹ ɐ m p ə t iː n  
two,t ʉː  
under,ɐ n d ə  
underbrantuand,ɐ n d ə b ɹ æ n tʃ ʉː ə n d  
van,v æ n  
vanilla,v ə n ɪ l ə  
vegemite,v e dʒ ə m ɑe t  
versatrationist,v ɜː s ə t ɹ æɪ ʃ ə n ə s t  
violin,v ɑe j ə l ɪ n  
voice,v oɪ s  
voltularity,v ɔ l tʃ ə l æ ɹ ə t iː  
walk,w oː k
watch,w ɔ tʃ  
watermelon,w oː t ə m e l ə n  
wheel,w iː l  
white,w ɑe t  
wing,w ɪ ŋ
witch,w ɪ tʃ  
wood,w ʊ d  
woogalamic,w ʊ ɡ ə l æ m ɪ k  
xylophone,z ɑe l ə f əʉ n  
yard,j ɐː d  
yes,j e s  
yoyo,j əʉ j əʉ  
zed,z e d  
zoo,z ʉː  